J000006.75-004653.8 ,000.02816,-00.78162,0.2860
J000006.93+204428.5 ,000.02888,+20.74126,0.9959
J000007.29+295700.1 ,000.03029,+29.95012,0.8035
J000007.29-060806.0 ,000.03037,-06.13500,0.9990
J000015.76+173852.9 ,000.06569,+17.64803,0.2178
J000018.14+185755.8 ,000.07560,+18.96551,0.9673
J000018.40+221802.8 ,000.07670,+22.30079,0.2102
J000022.53-105142.1 ,000.09391,-10.86171,0.9678
J000022.88-000635.7 ,000.09534,-00.10992,0.9218
J000023.41+152746.0 ,000.09758,+15.46279,0.9909
J000024.25+052433.2 ,000.10106,+05.40924,0.9688
J000033.14+292857.5 ,000.13811,+29.48264,0.8223
J000034.05-052922.3 ,000.14191,-05.48954,0.9999
J000034.07-010820.0 ,000.14198,-01.13891,0.9818
J000034.58+203243.8 ,000.14410,+20.54552,0.3530
J000035.31+310851.0 ,000.14716,+31.14752,0.9864
J000042.87+013221.7 ,000.17864,+01.53937,0.9921
J000047.37+224037.3 ,000.19741,+22.67704,0.9836
J000051.84+272405.3 ,000.21603,+27.40147,0.9163
